"Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","FullTextURL","RelatedURL"
21,"A Hornstein, M Yuan","Can a matching model explain the long-run increase in Canada's unemployment rate?",1999,"Canadian Journal of Economics","JSTOR","https://www.jstor.org/stable/136409","https://scholar.google.com/scholar?cites=7784707369625593078&as_sdt=2005&sciodt=0,5&hl=en",853,"2022-08-15 21:28:05","","",NA,NA,NA,NA,NA,NA,21,0.91,11,2,23,"… unemployment insurance … replacement rate as the expected value of unemployment benefits to an unemployed worker, based on the legislated replacement rate, the maximum duration …","","https://scholar.google.com/scholar?q=related:9iTmhhvWCGwJ:scholar.google.com/&scioq=duration+%22standard+error%22%7C%22standard+errors%22%7Cpbd%7C%22benefit+duration%22%7Cwba%7C%22weekly+benefit+amount%22%7C%22replacement+rate%22+%22unemployment+insurance%22&hl=en&as_sdt=0,5"
152,"A Karlström, M Palme, I Svensson","The employment effect of stricter rules for eligibility for DI: Evidence from a natural experiment in Sweden",2008,"Journal of public economics","Elsevier","https://www.sciencedirect.com/science/article/pii/S0047272708000765","https://scholar.google.com/scholar?cites=866506771726607124&as_sdt=2005&sciodt=0,5&hl=en",790,"2022-08-15 21:28:05","","",NA,NA,NA,NA,NA,NA,152,10.86,51,3,14,"… The unemployment insurance benefit consists of two parts: one basic … replacement rate for unemployment insurance has also been changed on several occasions during the time period …","http://www2.ne.su.se/paper/wp08_03.pdf","https://scholar.google.com/scholar?q=related:FCM8ZFFzBgwJ:scholar.google.com/&scioq=duration+%22standard+error%22%7C%22standard+errors%22%7Cpbd%7C%22benefit+duration%22%7Cwba%7C%22weekly+benefit+amount%22%7C%22replacement+rate%22+%22unemployment+insurance%22&hl=en&as_sdt=0,5"
4,"A Kelly","The performance of Illinois' unemployment insurance system over business cycles",1997,"International Journal of Public Administration","Taylor & Francis","https://www.tandfonline.com/doi/abs/10.1080/01900699708525267","https://scholar.google.com/scholar?cites=4598375577560642611&as_sdt=2005&sciodt=0,5&hl=en",876,"2022-08-15 21:28:05","","10.1080/01900699708525267",NA,NA,NA,NA,NA,NA,4,0.16,4,1,25,"… Initially, a few states borrowed from this fund for short time periods. The back-to-back recessions of … of wages replaced by Unemployment Insurance (the Replacement Rate). This ratio is …","","https://scholar.google.com/scholar?q=related:M3RVfDm20D8J:scholar.google.com/&scioq=duration+%22standard+error%22%7C%22standard+errors%22%7Cpbd%7C%22benefit+duration%22%7Cwba%7C%22weekly+benefit+amount%22%7C%22replacement+rate%22+%22unemployment+insurance%22&hl=en&as_sdt=0,5"
41,"A Kuhn, S Staubli, JP Wuellrich, J Zweimüller","Fatal attraction? Extended unemployment benefits, labor force exits, and mortality",2020,"Journal of Public Economics","Elsevier","https://www.sciencedirect.com/science/article/pii/S0047272719301483","https://scholar.google.com/scholar?cites=2124849954550656576&as_sdt=2005&sciodt=0,5&hl=en",880,"2022-08-15 21:28:05","","",NA,NA,NA,NA,NA,NA,41,20.5,10,4,2,"… change in Austria's unemployment insurance system that … pension and unemployment insurance (UI) system during that time. … -region level, all standard errors we report are adjusted for …","https://www.nber.org/system/files/working_papers/w25124/w25124.pdf","https://scholar.google.com/scholar?q=related:QC7_lcb7fB0J:scholar.google.com/&scioq=duration+%22standard+error%22%7C%22standard+errors%22%7Cpbd%7C%22benefit+duration%22%7Cwba%7C%22weekly+benefit+amount%22%7C%22replacement+rate%22+%22unemployment+insurance%22&hl=en&as_sdt=0,5"
23,"A Lauringson","Disincentive effects of unemployment insurance benefits: maximum benefit duration versus benefit level",2011,"Baltic Journal of Economics","Taylor & Francis","https://www.tandfonline.com/doi/abs/10.1080/1406099X.2011.10840489","https://scholar.google.com/scholar?cites=11433776798882835695&as_sdt=2005&sciodt=0,5&hl=en",6,"2022-08-15 21:28:05","","10.1080/1406099X.2011.10840489",NA,NA,NA,NA,NA,NA,23,2.09,23,1,11,"… duration of unemployment insurance benefit is longer. The unemployed eligible for shorter unemployment insurance … time-varying covariates: 1) as a replacement rate, 2) as a grouped …","https://www.tandfonline.com/doi/pdf/10.1080/1406099X.2011.10840489","https://scholar.google.com/scholar?q=related:76yDemvvrJ4J:scholar.google.com/&scioq=duration+%22standard+error%22%7C%22standard+errors%22%7Cpbd%7C%22benefit+duration%22%7Cwba%7C%22weekly+benefit+amount%22%7C%22replacement+rate%22+%22unemployment+insurance%22&hl=en&as_sdt=0,5"
16,"A Lichter, A Schiprowski","Benefit duration, job search behavior and re-employment",2021,"Journal of Public Economics","Elsevier","https://www.sciencedirect.com/science/article/pii/S0047272720301900","https://scholar.google.com/scholar?cites=5593399018374186918&as_sdt=2005&sciodt=0,5&hl=en",39,"2022-08-15 21:28:05","","",NA,NA,NA,NA,NA,NA,16,16,8,2,1,"… unemployment insurance (UI) scheme in 2008, which increased the potential benefit duration … cohort, we find that the PBD extension prolonged the duration of UI receipt for this group …","https://www.econstor.eu/bitstream/10419/226837/1/ECONtribute-037-2020.pdf","https://scholar.google.com/scholar?q=related:pkc2qcW-n00J:scholar.google.com/&scioq=duration+%22standard+error%22%7C%22standard+errors%22%7Cpbd%7C%22benefit+duration%22%7Cwba%7C%22weekly+benefit+amount%22%7C%22replacement+rate%22+%22unemployment+insurance%22&hl=en&as_sdt=0,5"
39,"A Light, Y Omori","Unemployment insurance and job quits",2004,"Journal of Labor Economics","journals.uchicago.edu","https://www.journals.uchicago.edu/doi/abs/10.1086/380406","https://scholar.google.com/scholar?cites=1453338942445599317&as_sdt=2005&sciodt=0,5&hl=en",452,"2022-08-15 21:28:05","","10.1086/380406",NA,NA,NA,NA,NA,NA,39,2.17,20,2,18,"… second period, individuals remain employed at their period 1 … {l}$$ hours of nonwork time per period, and in period 1 they … could potentially bias our standard errors. This aggregation …","","https://scholar.google.com/scholar?q=related:VTq2ahFMKxQJ:scholar.google.com/&scioq=duration+%22standard+error%22%7C%22standard+errors%22%7Cpbd%7C%22benefit+duration%22%7Cwba%7C%22weekly+benefit+amount%22%7C%22replacement+rate%22+%22unemployment+insurance%22&hl=en&as_sdt=0,5"
37,"A Lindner, B Reizer","Front-Loading the Unemployment Benefit: An Empirical Assessment",2020,"American Economic Journal: Applied Economics","aeaweb.org","https://www.aeaweb.org/articles?id=10.1257/app.20180138","https://scholar.google.com/scholar?cites=13159378766563157039&as_sdt=2005&sciodt=0,5&hl=en",824,"2022-08-15 21:28:05","","",NA,NA,NA,NA,NA,NA,37,18.5,19,2,2,"… on the optimal time profile of unemployment insurance (eg, … on the effect of unemployment insurance on job quality. … the UI replacement rate or benefit duration on reemployment wages …","https://discovery.ucl.ac.uk/id/eprint/10081315/1/Lindner_app.20180138.pdf","https://scholar.google.com/scholar?q=related:L6TQTUSBn7YJ:scholar.google.com/&scioq=duration+%22standard+error%22%7C%22standard+errors%22%7Cpbd%7C%22benefit+duration%22%7Cwba%7C%22weekly+benefit+amount%22%7C%22replacement+rate%22+%22unemployment+insurance%22&hl=en&as_sdt=0,5"
95,"A McKay, R Reis","Optimal automatic stabilizers",2021,"The Review of Economic Studies","academic.oup.com","https://academic.oup.com/restud/article-abstract/88/5/2375/6174002","https://scholar.google.com/scholar?cites=7698357449434296462&as_sdt=2005&sciodt=0,5&hl=en",721,"2022-08-15 21:28:05","","",NA,NA,NA,NA,NA,NA,95,95,48,2,1,"… We introduce unemployment insurance and progressive … We calculate the optimal unemployment replacement rate and … adjusts the tax instruments every period in response to …","https://www.nber.org/system/files/working_papers/w22359/w22359.pdf","https://scholar.google.com/scholar?q=related:jnCDB1AP1moJ:scholar.google.com/&scioq=duration+%22standard+error%22%7C%22standard+errors%22%7Cpbd%7C%22benefit+duration%22%7Cwba%7C%22weekly+benefit+amount%22%7C%22replacement+rate%22+%22unemployment+insurance%22&hl=en&as_sdt=0,5"
69,"A Moreira, ÁA Domínguez, C Antunes…","Austerity-driven labour market reforms in southern Europe: Eroding the security of labour market insiders",2015,"… Journal of Social …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/138826271501700204","https://scholar.google.com/scholar?cites=6028731245963973526&as_sdt=2005&sciodt=0,5&hl=en",906,"2022-08-15 21:28:05","","10.1177/138826271501700204",NA,NA,NA,NA,NA,NA,69,9.86,17,4,7,"… and duration of unemployment insurance benefits. The cap on unemployment insurance benefits … the gross replacement rate for an individual with the following characteristics: – Age 35 …","https://repositorio.ul.pt/bitstream/10451/22585/1/ICS_AMoreira_Austeridade_ARI.pdf","https://scholar.google.com/scholar?q=related:lhP7aSBbqlMJ:scholar.google.com/&scioq=duration+%22standard+error%22%7C%22standard+errors%22%7Cpbd%7C%22benefit+duration%22%7Cwba%7C%22weekly+benefit+amount%22%7C%22replacement+rate%22+%22unemployment+insurance%22&hl=en&as_sdt=0,5"
287,"A Nekoei, A Weber","Does extending unemployment benefits improve job quality?",2017,"American Economic Review","aeaweb.org","https://www.aeaweb.org/articles?id=10.1257/aer.20150528","https://scholar.google.com/scholar?cites=13126906792680445266&as_sdt=2005&sciodt=0,5&hl=en",463,"2022-08-15 21:28:05","","",NA,NA,NA,NA,NA,NA,287,57.4,144,2,5,"… The positive effect of unemployment insurance (UI) on unemployment duration is one of the … We begin by studying how an extension of the potential UI benefit duration affects laid-off …","https://www.econstor.eu/bitstream/10419/115109/1/wp1404.pdf","https://scholar.google.com/scholar?q=related:UlVhuS0kLLYJ:scholar.google.com/&scioq=duration+%22standard+error%22%7C%22standard+errors%22%7Cpbd%7C%22benefit+duration%22%7Cwba%7C%22weekly+benefit+amount%22%7C%22replacement+rate%22+%22unemployment+insurance%22&hl=en&as_sdt=0,5"
13,"A Pollak","Unemployment, human capital depreciation, and unemployment insurance policy",2013,"Journal of Applied Econometrics","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/jae.2275","https://scholar.google.com/scholar?cites=16722058076073540997&as_sdt=2005&sciodt=0,5&hl=en",435,"2022-08-15 21:28:05","","10.1002/jae.2275",NA,NA,NA,NA,NA,NA,13,1.44,13,1,9,"… unemployment insurance (UI) systems in Germany and the USA during the 1990s, the time period … The maximum benefit duration was 12 months for workers under the age of 42, but it …","","https://scholar.google.com/scholar?q=related:hb3QETmvEOgJ:scholar.google.com/&scioq=duration+%22standard+error%22%7C%22standard+errors%22%7Cpbd%7C%22benefit+duration%22%7Cwba%7C%22weekly+benefit+amount%22%7C%22replacement+rate%22+%22unemployment+insurance%22&hl=en&as_sdt=0,5"
2,"A Pollak","Employment Insurance: Interregional Redistribution versus Protection against Changing Labour Market Conditions",2019,"Canadian Public Policy","utpjournals.press","https://www.utpjournals.press/doi/abs/10.3138/cpp.2018-053","https://scholar.google.com/scholar?cites=11061379317089910504&as_sdt=2005&sciodt=0,5&hl=en",847,"2022-08-15 21:28:05","","10.3138/cpp.2018-053",NA,NA,NA,NA,NA,NA,2,0.67,2,1,3,"… properties of the Canadian unemployment insurance system, … conditions and thus varies over time with the state of the … particular benefit duration, as well as the maximum duration …","","https://scholar.google.com/scholar?q=related:6D7_GOLpgZkJ:scholar.google.com/&scioq=duration+%22standard+error%22%7C%22standard+errors%22%7Cpbd%7C%22benefit+duration%22%7Cwba%7C%22weekly+benefit+amount%22%7C%22replacement+rate%22+%22unemployment+insurance%22&hl=en&as_sdt=0,5"
22,"A Schiprowski","The role of caseworkers in unemployment insurance: Evidence from unplanned absences",2020,"Journal of Labor Economics","journals.uchicago.edu","https://www.journals.uchicago.edu/doi/abs/10.1086/706092","https://scholar.google.com/scholar?cites=8527171236300290444&as_sdt=2005&sciodt=0,5&hl=en",142,"2022-08-15 21:28:05","","10.1086/706092",NA,NA,NA,NA,NA,NA,22,11,22,1,2,"… unemployment (520 days is the maximum potential benefit duration in the sample). The solid … The unemployment duration is capped at 520 days (12.3% of the sample). Standard errors …","https://www.econstor.eu/bitstream/10419/171024/1/dp11040.pdf","https://scholar.google.com/scholar?q=related:jHmbfg-ZVnYJ:scholar.google.com/&scioq=duration+%22standard+error%22%7C%22standard+errors%22%7Cpbd%7C%22benefit+duration%22%7Cwba%7C%22weekly+benefit+amount%22%7C%22replacement+rate%22+%22unemployment+insurance%22&hl=en&as_sdt=0,5"
180,"AB Atkinson, J Gomulka, J Micklewright…","Unemployment benefit, duration and incentives in Britain: how robust is the evidence?",1984,"Journal of Public …","Elsevier","https://www.sciencedirect.com/science/article/pii/0047272784900653","https://scholar.google.com/scholar?cites=1279926636962867166&as_sdt=2005&sciodt=0,5&hl=en",21,"2022-08-15 21:28:05","","",NA,NA,NA,NA,NA,NA,180,4.74,45,4,38,"… , different specifications of the replacement rate, different time periods, and the inclusion/… The person who expects to find a significant disincentive of unemployment insurance will no …","https://www.academia.edu/download/50212801/0047-2727_2884_2990065-320161109-13833-16k7dji.pdf","https://scholar.google.com/scholar?q=related:3me7tn42wxEJ:scholar.google.com/&scioq=duration+%22standard+error%22%7C%22standard+errors%22%7Cpbd%7C%22benefit+duration%22%7Cwba%7C%22weekly+benefit+amount%22%7C%22replacement+rate%22+%22unemployment+insurance%22&hl=en&as_sdt=0,5"
395,"AB Krueger, A Mueller","Job search and unemployment insurance: New evidence from time use data",2010,"Journal of Public Economics","Elsevier","https://www.sciencedirect.com/science/article/pii/S0047272709001625","https://scholar.google.com/scholar?cites=16101401286367181146&as_sdt=2005&sciodt=0,5&hl=en",22,"2022-08-15 21:28:05","","",NA,NA,NA,NA,NA,NA,395,32.92,198,2,12,"… of worker i in state s, s ist is time allocated to job search (in minutes per day) of individual i in state s and time t, wba ist is the maximum weekly benefit amount, X i is a set of controls such …","https://www.econstor.eu/bitstream/10419/35182/1/578090686.pdf","https://scholar.google.com/scholar?q=related:WvnuOymrc98J:scholar.google.com/&scioq=duration+%22standard+error%22%7C%22standard+errors%22%7Cpbd%7C%22benefit+duration%22%7Cwba%7C%22weekly+benefit+amount%22%7C%22replacement+rate%22+%22unemployment+insurance%22&hl=en&as_sdt=0,5"
300,"AB Krueger, A Mueller, SJ Davis, A Şahin","Job search, emotional well-being, and job finding in a period of mass unemployment: Evidence from high frequency longitudinal data [with comments and discussion]",2011,"Brookings Papers on Economic …","JSTOR","https://www.jstor.org/stable/41228523","https://scholar.google.com/scholar?cites=7915607417697912680&as_sdt=2005&sciodt=0,5&hl=en",655,"2022-08-15 21:28:05","","",NA,NA,NA,NA,NA,NA,300,27.27,75,4,11,"… We find that the amount of time devoted to job search declines … around the time that extended unemployment insurance (UI) … not shown because the standard errors are usually small (…","https://www.econstor.eu/bitstream/10419/46145/1/66106591X.pdf","https://scholar.google.com/scholar?q=related:aMdU-QHj2W0J:scholar.google.com/&scioq=duration+%22standard+error%22%7C%22standard+errors%22%7Cpbd%7C%22benefit+duration%22%7Cwba%7C%22weekly+benefit+amount%22%7C%22replacement+rate%22+%22unemployment+insurance%22&hl=en&as_sdt=0,5"
22,"AC Johnston","Unemployment insurance taxes and labor demand: Quasi-experimental evidence from administrative data",2021,"American Economic Journal: Economic Policy","aeaweb.org","https://www.aeaweb.org/doi/10.1257/pol.20190031","https://scholar.google.com/scholar?cites=10041273274331462117&as_sdt=2005&sciodt=0,5&hl=en",332,"2022-08-15 21:28:05","","10.1257/pol.20190031",NA,NA,NA,NA,NA,NA,22,22,22,1,1,"… Throughout the analysis, standard errors are clustered at the firm level to account for correlated outcomes within a firm over time. To assess the influence of unobserved firm differences …","https://www.econstor.eu/bitstream/10419/216429/1/dp13117.pdf","https://scholar.google.com/scholar?q=related:5XkmkdfEWYsJ:scholar.google.com/&scioq=duration+%22standard+error%22%7C%22standard+errors%22%7Cpbd%7C%22benefit+duration%22%7Cwba%7C%22weekly+benefit+amount%22%7C%22replacement+rate%22+%22unemployment+insurance%22&hl=en&as_sdt=0,5"
130,"AC Johnston, A Mas","Potential unemployment insurance duration and labor supply: The individual and market-level response to a benefit cut",2018,"Journal of Political Economy","journals.uchicago.edu","https://www.journals.uchicago.edu/doi/abs/10.1086/699973","https://scholar.google.com/scholar?cites=5935012520659753953&as_sdt=2005&sciodt=0,5&hl=en",100,"2022-08-15 21:28:05","","10.1086/699973",NA,NA,NA,NA,NA,NA,130,32.5,65,2,4,"… knowledge, this was the first time states cut UI benefit durations. … the duration of UI benefits to below 26 weeks, the duration … UI benefit duration on the duration of UI receipt, the length of …","https://www.nber.org/system/files/working_papers/w22411/w22411.pdf","https://scholar.google.com/scholar?q=related:4ZtrR3FmXVIJ:scholar.google.com/&scioq=duration+%22standard+error%22%7C%22standard+errors%22%7Cpbd%7C%22benefit+duration%22%7Cwba%7C%22weekly+benefit+amount%22%7C%22replacement+rate%22+%22unemployment+insurance%22&hl=en&as_sdt=0,5"
115,"AI Mueller, J Rothstein…","Unemployment insurance and disability insurance in the Great Recession",2016,"Journal of Labor …","journals.uchicago.edu","https://www.journals.uchicago.edu/doi/abs/10.1086/683140","https://scholar.google.com/scholar?cites=4843557154085176899&as_sdt=2005&sciodt=0,5&hl=en",162,"2022-08-15 21:28:05","","10.1086/683140",NA,NA,NA,NA,NA,NA,115,19.17,38,3,6,"… final exhaustions measure, controlling for state and month effects, is 0.24, with a standard error of 0.03. When we exclude the June–August 2010 period, the elasticity rises to 0.28. …","https://www.nber.org/system/files/working_papers/w19672/w19672.pdf","https://scholar.google.com/scholar?q=related:Q4aMwpHFN0MJ:scholar.google.com/&scioq=duration+%22standard+error%22%7C%22standard+errors%22%7Cpbd%7C%22benefit+duration%22%7Cwba%7C%22weekly+benefit+amount%22%7C%22replacement+rate%22+%22unemployment+insurance%22&hl=en&as_sdt=0,5"
15,"B Beach, J Lopresti","Losing by less? Import competition, unemployment insurance generosity, and crime",2019,"Economic Inquiry","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/ecin.12758","https://scholar.google.com/scholar?cites=1094936086824926069&as_sdt=2005&sciodt=0,5&hl=en",448,"2022-08-15 21:28:05","","10.1111/ecin.12758",NA,NA,NA,NA,NA,NA,15,5,8,2,3,"… the base period multiplied by a replacement rate—approximately … It is worth noting, however, that unless our standard errors … It would take a 74% increase in our standard errors to fail to …","https://brianbbeach.github.io/Materials/Publications/2019_Losing_by_less_EI.pdf","https://scholar.google.com/scholar?q=related:dbv02pH-MQ8J:scholar.google.com/&scioq=duration+%22standard+error%22%7C%22standard+errors%22%7Cpbd%7C%22benefit+duration%22%7Cwba%7C%22weekly+benefit+amount%22%7C%22replacement+rate%22+%22unemployment+insurance%22&hl=en&as_sdt=0,5"
