"","elasticity","SE","DIDorRKD","RDD","MacroTreatment","PBD","RRxBaselinePBD","RRxBaselineRR","PBDxBaselinePBD","PBDxBaselineRR","Admin","NonemploymentAsOutcome","HazardModel","YearsTo2023","RelativeUnemp","USA","TaxWedge","ImpactFactorZ"
"62",0.1150718523,0.0416918331602577,0,1,0,1,0,0,28,0.66,1,1,1,7,-1.05483870967742,0,47.00974,-0.612985210819175
"63",0.306,0.0325000000013276,1,0,0,1,0,0,59.02228571,0.5848343809,1,0,0,4,-0.924838709677418,0,47.00974,-0.133211953527516
"64",0.7566371681,0.0150896301339082,1,0,0,0,77,0.6,0,0,1,1,0,3,7.77645161290323,0,39.25475,-0.30943377416706
"65",1.097053414,0.538177146612417,1,0,0,1,0,0,52,0.68,0,1,1,28,0.744691752592592,0,48.09457,0.29153402888128
"66",1.4,0.2,1,1,0,0,39,0.55,0,0,1,1,0,8,1.50738830471698,0,47.81829,2.08364724867274
"67",1.53,0.129999999991503,1,1,0,0,60,0.72,0,0,1,0,0,5,-1.8741935483871,0,42.5686,0.821921615784022
"68",0.0303241562360721,0.0143146224240496,1,0,0,1,0,0,46,0.464,0,1,1,8,3.48533950617284,1,28.40886,-0.30943377416706
"69",0.1882673943,0.0321964529389141,0,1,0,1,0,0,16,0.8354285714,1,1,0,1,-1.40664516129032,0,32.5,0.14851693059159
"70",0.08,0.240000000024,1,1,0,0,71.42857143,0.6066037736,0,0,1,1,0,3,-2.29225806451613,0,42.7084,-0.439265853047164
"71",0.9,0.790000000228222,1,1,0,0,71.42857143,0.6066037736,0,0,1,0,0,3,-2.29225806451613,0,42.7084,-0.439265853047164
