"","paper_id","reform_id","estimate_id","authors","paper_name","title","year","journal","impact_factor","url","pbd_vs_rr","margin_outcome_identifier","margin_outcome_sample_size","research_design","running_var","reform_size","reform_units","coef_type_nonemp","reg_outcome_nonemp","level_partial_effect_nonemp","raw_coef_nonemp","raw_se_nonemp","implied_elasticity_nonemp","source_nonemp","description_nonemp","coef_type_claimed","reg_outcome_claimed","level_partial_effect_claimed","raw_coef_claimed","raw_se_claimed","implied_elasticity_claimed","source_claimed","description_claimed","sample_size_unique","other_elasticity_nonemp","other_elasticity_details_nonemp","other_elasticity_claimed","other_elasticity_details_claimed","other_elasticities_preferred","estimate_label","include","mean_nonemp_dur","mean_claimed_dur","mean_pbd","mean_rr","pbd_source","rr_source","eyeballed_hazard_mean","eyeballed_hazard_range","admin","sample_year_range","sample_year","sample_country","us_country","sample_state","country_tax_wedge","macro_treatment","ue_contemporaneous","ue_rate_avg_91_21","ue_deviation","estimates_per_study_margin","estimate_study_num","paper_name_long","design_DID","design_RDD_RKD","PBD_indicator","impact_factor_z","ue_measure","elasticity","se","tstat","hazard","ue_measure_nonemp"
"11",7,7,1,"C Landais","Landais '15 AEJ:EP","Assessing the welfare effects of unemployment benefits using the regression kink design",2015,"American Economic Journal: Economic Policy",33.721,"https://www.aeaweb.org/articles?id=10.1257/pol.20130248","PBD",NA,NA,"RKD","prior earnings","Kink with BPW/HQW","weeks","level-level","duration",NA,0.33,0.425,0.33,"Table 4 Column 2 Row 2","Given","log-log","duration",0.3979410992,"1.348",0.685,1.348,"Table 4 Column 2 Row 1","Given","2049.0",NA,NA,NA,NA,NA,"Applies to both PBD and RR","Yes",27.9,16.2,29.12492264,0.5487646298,"Sample-based, non-uniform (Table 1)","Sample-based, non-uniform (Table 1)",NA,NA,1,"1980.0",1980,"USA",1,"WA",28.40886,0,7.175,6.12299382716049,1.05200617283951,1,1,"Landais '15 AEJ:EP(NA)",0,1,1,-0.224592210496808,"nonemp",0.33,0.425000000019318,0.7764705882,0,TRUE
"12",7,7,1,"C Landais","Landais '15 AEJ:EP","Assessing the welfare effects of unemployment benefits using the regression kink design",2015,"American Economic Journal: Economic Policy",33.721,"https://www.aeaweb.org/articles?id=10.1257/pol.20130248","PBD",NA,NA,"RKD","prior earnings","Kink with BPW/HQW","weeks","level-level","duration",NA,0.33,0.425,0.33,"Table 4 Column 2 Row 2","Given","log-log","duration",0.3979410992,"1.348",0.685,1.348,"Table 4 Column 2 Row 1","Given","2049.0",NA,NA,NA,NA,NA,"Applies to both PBD and RR","Yes",27.9,16.2,29.12492264,0.5487646298,"Sample-based, non-uniform (Table 1)","Sample-based, non-uniform (Table 1)",NA,NA,1,"1980.0",1980,"USA",1,"WA",28.40886,0,7.175,6.12299382716049,1.05200617283951,1,1,"Landais '15 AEJ:EP(NA)",0,1,1,-0.224592210496808,"claimed",1.348,0.684999999888205,1.967883212,0,FALSE
"13",8,8,1,"D Card, A Johnston, P Leung, A Masâ€¦","Card et al '15 AEAPP","The effect of unemployment benefits on the duration of unemployment insurance receipt: New evidence from a regression kink design in Missouri, 2003-2013",2015,"American Economic Association Papers and Proceedings",4.425,"https://www.aeaweb.org/articles?id=10.1257/aer.p20151061","RR",NA,NA,"RKD","prior earnings","Kink with HQW","WBA","log-level","duration",NA,NA,NA,NA,"Table 1 Column 1 Row 2 of NBER WP",NA,"log-level","duration",0.1323211679,"0.206",0.073,0.206,"Table 1 Column 1 Row 2 of NBER WP","Given","295639.0",NA,NA,NA,NA,NA,"Unique","Yes",11.9,16,24.90909091,0.52,"External data (DOL ETA for Missouri from 2003-2013)","Rules-based, relevant at kink (published pg 127)",NA,NA,1,"2003-2007",2005,"USA",1,"MO",28.40886,0,5.08333333333333,6.12299382716049,-1.03966049382716,1,1,"Card et al '15 AEAPP(NA)",0,1,0,-1.01289492197277,"claimed",0.206,0.0730000000056699,2.821917808,0,FALSE
"14",9,9,1,"D Card, PB Levine","Card & Levine '00 JPubEc","Extended benefits and the duration of UI spells: evidence from the New Jersey extended benefit program",2000,"Journal of Public Economics",37.117,"https://www.sciencedirect.com/science/article/pii/S0047272799001139","PBD",NA,NA,"DID","claim timing","Emergency benefits",NA,NA,NA,NA,NA,NA,NA,"Table 6 Column 2 Row 2",NA,"log-level","hazard",0.1990601056,"-16.62",2.45,0.3062463162,"Table 6 Column 2 Row 2","Transform hazard coefficient, scaled by the policy being a 50% change to PBD","56262.0",NA,NA,NA,NA,NA,"Unique","Yes",NA,16.9,26,0.539,"Rules-based (published pg 108)","Sample-based, overall sample around reform (Table 3 Column 2)",0.04,0.05,1,"1997.0",1997,"USA",1,"NJ",28.40886,1,4.94166666666667,6.12299382716049,-1.18132716049383,1,1,"Card & Levine '00 JPubEc(NA)",1,0,1,-0.133211953527516,"claimed",0.3062463162,0.0451446134014974,6.783673469,1,FALSE
"15",10,10,1,"D Card, R Chetty, A Weber","Card et al '07 QJE","Cash-on-hand and competing models of intertemporal behavior: New evidence from the labor market",2007,"The Quarterly Journal of Economics",156.504,"https://academic.oup.com/qje/article-abstract/122/4/1511/1850504","PBD",NA,NA,"RDD","prior tenure","10.0","weeks","log-level","hazard",NA,-0.093,0.016,0.1776129994,"Table II Column 3 Row 2","Exponentiate negative of hazard effect minus 1, then scale by PBD change",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unique","Yes",NA,NA,20,0.55,"Rules-based, uniform (abstract)","Sample-based, effective UI replacement rate corresponding to extension (appendix pg 1557)",NA,NA,1,"1981-2001",1991,"Austria",0,NA,47.81829,0,3.47567584,3.73936275528302,-0.263686915283019,1,1,"Card et al '07 QJE(NA)",0,1,1,3.07927766331372,"nonemp",0.1776129994,0.0305570751655914,5.8125,1,TRUE
"16",11,11,1,"D Fackler, J Stegmaier, E Weigt","Fackler et al '19 Labour Econ.","Does extended unemployment benefit duration ameliorate the negative employment effects of job loss?",2019,"Labour Economics",19.287,"https://www.sciencedirect.com/science/article/pii/S0927537119300181","PBD",NA,NA,"RDD","age","3.0","months","level-level","duration",-0.025,-0.075,0.582,-0.02778549597,"Table 1 Column 2","Scale causal effect by change in duration (in months)","level-level","duration",0.1896666667,"0.569",0.206,0.478,"Table 1 Column 1","Direct","8827.0",NA,NA,NA,NA,NA,"Unique","Yes",43.188,19.06,48,0.6,"Rules-based, uniform (published pg 127)","Rules-based, but up to cap (published pg 127)",NA,NA,1,"2008-2013",2010,"Germany",0,NA,48.09457,0,6.96782297,5.44865136740741,1.51917160259259,1,1,"Fackler et al '19 Labour Econ.(NA)",0,1,1,-0.612985210819175,"nonemp",-0.02778549597,0.215615448696151,-0.1288659794,0,TRUE
"17",11,11,1,"D Fackler, J Stegmaier, E Weigt","Fackler et al '19 Labour Econ.","Does extended unemployment benefit duration ameliorate the negative employment effects of job loss?",2019,"Labour Economics",19.287,"https://www.sciencedirect.com/science/article/pii/S0927537119300181","PBD",NA,NA,"RDD","age","3.0","months","level-level","duration",-0.025,-0.075,0.582,-0.02778549597,"Table 1 Column 2","Scale causal effect by change in duration (in months)","level-level","duration",0.1896666667,"0.569",0.206,0.478,"Table 1 Column 1","Direct","8827.0",NA,NA,NA,NA,NA,"Unique","Yes",43.188,19.06,48,0.6,"Rules-based, uniform (published pg 127)","Rules-based, but up to cap (published pg 127)",NA,NA,1,"2008-2013",2010,"Germany",0,NA,48.09457,0,6.96782297,5.44865136740741,1.51917160259259,1,1,"Fackler et al '19 Labour Econ.(NA)",0,1,1,-0.612985210819175,"claimed",0.478,0.173054481567254,2.762135922,0,FALSE
"18",12,12,1,"DM Blau, PK Robins","Blau & Robins '86 JPubEc","Job search, wage offers, and unemployment insurance",1986,"Journal of Public Economics",37.117,"https://www.sciencedirect.com/science/article/pii/0047272786900022","RR","Men",1708,"cross-sectional",NA,"Prior employment","RR","log-level","hazard",0.689625,-0.57,0.13,0.18,"Table 4 Column 1 and text (pg 188)","Text (pg 188)",NA,NA,NA,NA,NA,NA,NA,NA,"1708.0",NA,NA,NA,NA,NA,"Men","Yes",NA,NA,26.72,0.32,"External data (DOL ETA for US in 1980)","Sample-based, constructed based on survey reports (footnote 12 and pg 184)",NA,NA,0,"1980.0",1980,"USA",1,NA,28.40886,0,7.175,6.12299382716049,1.05200617283951,2,1,"Blau & Robins '86 JPubEc(Men)",0,0,0,-0.133211953527516,"nonemp",0.18,0.0410526315753463,4.384615385,1,TRUE
"19",12,12,2,"DM Blau, PK Robins","Blau & Robins '86 JPubEc","Job search, wage offers, and unemployment insurance",1986,"Journal of Public Economics",37.117,"https://www.sciencedirect.com/science/article/pii/0047272786900022","RR","Women",1220,"cross-sectional",NA,"Prior employment","RR","log-level","hazard",0.6876170213,-0.56,0.21,0.26,"Table 4 Column 1 and text (pg 188)","Text (pg 188)",NA,NA,NA,NA,NA,NA,NA,NA,"1220.0",NA,NA,NA,NA,NA,"Women","Yes",NA,NA,26.72,0.47,"External data (DOL ETA for US in 1980)","Sample-based, constructed based on survey reports (footnote 12 and pg 184)",NA,NA,0,"1980.0",1980,"USA",1,NA,28.40886,0,7.175,6.12299382716049,1.05200617283951,2,2,"Blau & Robins '86 JPubEc(Women)",0,0,0,-0.133211953527516,"nonemp",0.26,0.0974999999878125,2.666666667,1,TRUE
"20",13,13,1,"DS Lee, P Leung, CJ O'Leary, Z Peiâ€¦","Lee et al '21 JOLE","Are sufficient statistics necessary? nonparametric measurement of deadweight loss from unemployment insurance",2021,"Journal of Labor Economics",52.902,"https://www.journals.uchicago.edu/doi/abs/10.1086/711594","RR",NA,NA,"RKD","prior earnings","Kink with HQW","WBA",NA,NA,NA,NA,NA,NA,"Table 4 Column 5",NA,"level-level","duration",0.1368421053,NA,NA,1.06,"Table 4 Column 5","Given","272261.0",NA,NA,NA,NA,NA,"Unique","Yes",NA,15.88,26.87882213,0.5211025269,"Sample-based, average weekly benefit amount of UI divided by average of 2-quarter high-quarter wages scaled by 26 weeks (Table 1 RKD model intercept)","Sample-based, average weekly benefit amount of UI divided by average of 2-quarter high-quarter wages scaled by 26 weeks (Table 1 RKD model intercept)",NA,NA,1,"1995.0",1995,"USA",1,"WA",28.40886,0,5.59166666666667,6.12299382716049,-0.531327160493827,1,1,"Lee et al '21 JOLE(NA)",0,1,0,0.29153402888128,"claimed",1.06,0.409999999945849,2.585365854,0,FALSE
"21",15,15,1,"ES Filiz","Filiz '17 Labour","The effect of unemployment insurance generosity on unemployment duration and labor market transitions",2017,"LABOUR",7.357,"https://onlinelibrary.wiley.com/doi/abs/10.1111/labr.12104","PBD",NA,NA,"RDD","prior tenure","2.0","months","level-level","duration",0.07,NA,NA,NA,"Table 3 Column 1",NA,"level-level","duration",0.06328333333,"3.797",0.706,0.07620927276,"Table 3 Column 1","Partial effect scaled by UE at threshold and baseline PBD","450441.0",NA,NA,NA,NA,NA,"Unique","Yes",NA,21.35285714,25.71428571,0.4,"Rules-based (Table 3)","Rules-based, subject to cap (Section 2 published pg 4)",NA,NA,1,"2002-2012",2007,"Turkey",0,NA,39.90168,0,8.87,9.51064516129032,-0.640645161290324,1,1,"Filiz '17 Labour(NA)",0,1,1,-0.934000071138271,"claimed",0.07620927276,0.0141700675709625,5.378186969,0,FALSE
"22",16,16,1,"F Gerard, G Gonzaga","Gerad & Gonzaga '21 AER","Informal labor and the efficiency cost of social programs: Evidence from unemployment insurance in brazil",2021,"American Economic Journal: Economic Policy",33.721,"https://www.aeaweb.org/doi/10.1257/pol.20180072","PBD",NA,NA,"RDD","prior tenure","1.0","months","level-level","duration",0.3894,0.3894,0.1813,0.09162352941,"Figure 5 Panel D",NA,"level-level","duration",0.8605,"0.8605",0.0084,0.894025974,"Figure 5 Panel A","Partial effect scaled by values below RD cutoff","170433.0",NA,NA,NA,NA,NA,"Unique","Yes",68,15.4,16,0.79,"Rules-based, 4 months to the left of cutoff (Section 3A, accepted version pg 15)","Sample-based, replacement rate at cutoff (Section 3B, accepted version pg 16)",NA,NA,1,"2005-2009",2007,"Brazil",0,NA,32.5,0,9.28,9.44064516129032,-0.160645161290324,1,1,"Gerad & Gonzaga '21 AER(NA)",0,1,1,-0.224592210496808,"nonemp",0.09162352941,0.0426588235222034,2.147821291,0,TRUE
"23",16,16,1,"F Gerard, G Gonzaga","Gerad & Gonzaga '21 AER","Informal labor and the efficiency cost of social programs: Evidence from unemployment insurance in brazil",2021,"American Economic Journal: Economic Policy",33.721,"https://www.aeaweb.org/doi/10.1257/pol.20180072","PBD",NA,NA,"RDD","prior tenure","1.0","months","level-level","duration",0.3894,0.3894,0.1813,0.09162352941,"Figure 5 Panel D",NA,"level-level","duration",0.8605,"0.8605",0.0084,0.894025974,"Figure 5 Panel A","Partial effect scaled by values below RD cutoff","170433.0",NA,NA,NA,NA,NA,"Unique","Yes",68,15.4,16,0.79,"Rules-based, 4 months to the left of cutoff (Section 3A, accepted version pg 15)","Sample-based, replacement rate at cutoff (Section 3B, accepted version pg 16)",NA,NA,1,"2005-2009",2007,"Brazil",0,NA,32.5,0,9.28,9.44064516129032,-0.160645161290324,1,1,"Gerad & Gonzaga '21 AER(NA)",0,1,1,-0.224592210496808,"claimed",0.894025974,0.00872727272620781,102.4404762,0,FALSE
"24",20,20,1,"H Bennmarker, K Carling, B Holmlund","Bennmarker et al '07 LABOUR","Do benefit hikes damage job finding? Evidence from Swedish unemployment insurance reforms",2007,"LABOUR",7.357,"https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1467-9914.2006.00363.x","RR","Men Group B",13918,"DID","Prior earnings","6.0","percentage points","log-log","hazard",NA,-0.249,NA,2.010333333,"Table 6 Row 1 Column 2, Table 3 Row 2 Columns 1 and 5, Table 7 Row 2 Column 4","Convert two-sided p-value to t-statistic using inverse normal. Scale percent change in total duration by percent change in post-20 week benefits.",NA,NA,NA,NA,NA,NA,NA,NA,"13918.0",NA,NA,NA,NA,NA,"Men Group B","Yes",32.88927899,17.99284784,60,0.74,"Rules-based, Section 2.1 (published pg 88)","Sample-based (Table 3)",NA,NA,1,"2002.0",2002,"Sweden",0,NA,42.5686,0,4.97,7.3441935483871,-2.3741935483871,6,1,"Bennmarker et al '07 LABOUR(Men Group B)",1,0,0,-0.934000071138271,"nonemp",2.010333333,0.677395842828676,2.967737925,1,TRUE
"25",20,20,2,"H Bennmarker, K Carling, B Holmlund","Bennmarker et al '07 LABOUR","Do benefit hikes damage job finding? Evidence from Swedish unemployment insurance reforms",2007,"LABOUR",7.357,"https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1467-9914.2006.00363.x","RR","Men Group C",6761,"DID","Prior earnings","11.0","percentage points","log-log","hazard",NA,-0.393,NA,2.322,"Table 6 Row 2 Column 2, Table 3 Row 3 Columns 1 and 5, Table 7 Row 3 Column 4","Convert two-sided p-value to t-statistic using inverse normal. Scale percent change in total duration by percent change in post-20 week benefits.",NA,NA,NA,NA,NA,NA,NA,NA,"6761.0",NA,NA,NA,NA,NA,"Men Group C","Yes",NA,NA,60,0.66,"Rules-based, Section 2.1 (published pg 88)","Sample-based (Table 3)",NA,NA,1,"2002.0",2002,"Sweden",0,NA,42.5686,0,4.97,7.3441935483871,-2.3741935483871,6,2,"Bennmarker et al '07 LABOUR(Men Group C)",1,0,0,-0.934000071138271,"nonemp",2.322,0.596824357123961,3.890591884,1,TRUE
"26",20,20,3,"H Bennmarker, K Carling, B Holmlund","Bennmarker et al '07 LABOUR","Do benefit hikes damage job finding? Evidence from Swedish unemployment insurance reforms",2007,"LABOUR",7.357,"https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1467-9914.2006.00363.x","RR","Men Group D",10535,"DID","Prior earnings","10.0","percentage points","log-log","hazard",NA,-0.275,NA,1.3275,"Table 6 Row 2 Column 2,  Table 3 Row 4 Columns 1 and 5, Table 7 Row 4 Column 4","Convert two-sided p-value to t-statistic using inverse normal. Scale percent change in total duration by percent change in post-20 week benefits.",NA,NA,NA,NA,NA,NA,NA,NA,"10535.0",NA,NA,NA,NA,NA,"Men Group D","Yes",NA,NA,60,0.59,"Rules-based, Section 2.1 (published pg 88)","Sample-based (Table 3)",NA,NA,1,"2002.0",2002,"Sweden",0,NA,42.5686,0,4.97,7.3441935483871,-2.3741935483871,6,3,"Bennmarker et al '07 LABOUR(Men Group D)",1,0,0,-0.934000071138271,"nonemp",1.3275,0.429579354876364,3.090232305,1,TRUE
