Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
49,"A Brandolini, F Carta, F D'amuri","A Feasible Unemployment‐Based Shock Absorber for the Euro Area",2016,"JCMS: Journal of Common …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/jcms.12398","https://scholar.google.com/scholar?cites=7571873390800818083&as_sdt=2005&sciodt=0,5&hl=en",666,"2022-08-15 21:28:05","","10.1111/jcms.12398","","",,,,,49,8.17,16,3,6,"… We envisage a NEUI (Notional Euro-wide Unemployment Insurance) that works through … we set the replacement rate at either 35 or 50 per cent and the maximum duration to either three …","https://www.econstor.eu/bitstream/10419/121339/1/819201626.pdf","https://scholar.google.com/scholar?q=related:o0_qPruyFGkJ:scholar.google.com/&scioq=duration+%22standard+error%22%7C%22standard+errors%22%7Cpbd%7C%22benefit+duration%22%7Cwba%7C%22weekly+benefit+amount%22%7C%22replacement+rate%22+%22unemployment+insurance%22&hl=en&as_sdt=0,5"
17,"A De Serres, F Murtin","Unemployment at risk: the policy determinants of labour market exposure to economic shocks",2014,"Economic Policy","academic.oup.com","https://academic.oup.com/economicpolicy/article-abstract/29/80/603/2918410","https://scholar.google.com/scholar?cites=14830428245485307510&as_sdt=2005&sciodt=0,5&hl=en",983,"2022-08-15 21:28:05","","","","",,,,,17,2.13,9,2,8,"… duration is calculated as the average replacement rate over a period of 5 years divided by the initial replacement rate… average net replacement rate of unemployment insurance benefits, …","https://www.economic-policy.org/wp-content/uploads/2013/10/de-serres-murtin.pdf","https://scholar.google.com/scholar?q=related:dkYSD-pD0M0J:scholar.google.com/&scioq=duration+%22standard+error%22%7C%22standard+errors%22%7Cpbd%7C%22benefit+duration%22%7Cwba%7C%22weekly+benefit+amount%22%7C%22replacement+rate%22+%22unemployment+insurance%22&hl=en&as_sdt=0,5"
0,"A Desbuquois","Essays in unemployment insurance",2022,"","etheses.lse.ac.uk","http://etheses.lse.ac.uk/id/eprint/4419","",339,"2022-08-15 21:28:05","","","","",,,,,0,0.00,0,1,1,"… it starts and ends, information about the entitlement length etc. It also provides information about the exact level of the replacement rate and therefore about the level of UB received by …","http://etheses.lse.ac.uk/4419/1/Desbuquois__Essays-unemployment-insurance.pdf",""
5,"A Dube","A plan to reform the Unemployment Insurance system in the United States",2021,"Hamilton Project Policy Proposal","hamiltonproject.org","https://www.hamiltonproject.org/assets/files/A_Plan_to_Reform_the_Unemployment_Insurance.pdf","https://scholar.google.com/scholar?cites=2528060655629694380&as_sdt=2005&sciodt=0,5&hl=en",12,"2022-08-15 21:28:05","PDF","","","",,,,,5,5.00,5,1,1,"… length of time an individual can collect UI is known as the potential benefit duration, or PBD, while the share of income that is replaced by UI benefits is known as the replacement rate. …","https://www.hamiltonproject.org/assets/files/A_Plan_to_Reform_the_Unemployment_Insurance.pdf","https://scholar.google.com/scholar?q=related:rPVypcV5FSMJ:scholar.google.com/&scioq=duration+%22standard+error%22%7C%22standard+errors%22%7Cpbd%7C%22benefit+duration%22%7Cwba%7C%22weekly+benefit+amount%22%7C%22replacement+rate%22+%22unemployment+insurance%22&hl=en&as_sdt=0,5"
21,"A Dube","Aggregate employment effects of unemployment benefits during deep downturns: Evidence from the expiration of the Federal Pandemic Unemployment …",2021,"","nber.org","https://www.nber.org/papers/w28470","https://scholar.google.com/scholar?cites=760588912076949257&as_sdt=2005&sciodt=0,5&hl=en",295,"2022-08-15 21:28:05","","","","",,,,,21,21.00,21,1,1,"… the replacement rate during a time when employment was recovering during the Covid recession. Leveraging the considerable variation in this drop across states, I use a difference-in-…","https://www.nber.org/system/files/working_papers/w28470/w28470.pdf","https://scholar.google.com/scholar?q=related:CYdy9JUnjgoJ:scholar.google.com/&scioq=duration+%22standard+error%22%7C%22standard+errors%22%7Cpbd%7C%22benefit+duration%22%7Cwba%7C%22weekly+benefit+amount%22%7C%22replacement+rate%22+%22unemployment+insurance%22&hl=en&as_sdt=0,5"
68,"A Ebenstein, K Stange","Does inconvenience explain low take‐up? Evidence from unemployment insurance",2010,"Journal of Policy Analysis and …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/pam.20481","https://scholar.google.com/scholar?cites=13769475199815036781&as_sdt=2005&sciodt=0,5&hl=en",307,"2022-08-15 21:28:05","","10.1002/pam.20481","","",,,,,68,5.67,34,2,12,"… 23 A two-hour application time reduction is equivalent to a 1 … , a 40 percent replacement rate, and 14 weeks expected duration. … to that derived using our state-clustered standard errors. …","https://deepblue.lib.umich.edu/bitstream/handle/2027.42/64570/20481_ftp.pdf?sequence=1","https://scholar.google.com/scholar?q=related:ba-GjL0AF78J:scholar.google.com/&scioq=duration+%22standard+error%22%7C%22standard+errors%22%7Cpbd%7C%22benefit+duration%22%7Cwba%7C%22weekly+benefit+amount%22%7C%22replacement+rate%22+%22unemployment+insurance%22&hl=en&as_sdt=0,5"
18,"A Farooq, AD Kugler, U Muratori","Do unemployment insurance benefits improve match quality? Evidence from recent US recessions",2020,"","nber.org","https://www.nber.org/papers/w27574","https://scholar.google.com/scholar?cites=3497402318975562371&as_sdt=2005&sciodt=0,5&hl=en",249,"2022-08-15 21:28:05","","","","",,,,,18,9.00,6,3,2,"… benefit duration significantly decreases the mismatch for women, nonwhites, and less-educated workers. Moreover, increasing UI benefit duration … of unemployment insurance duration …","https://www.nber.org/system/files/working_papers/w27574/w27574.pdf","https://scholar.google.com/scholar?q=related:g3IqC-FEiTAJ:scholar.google.com/&scioq=duration+%22standard+error%22%7C%22standard+errors%22%7Cpbd%7C%22benefit+duration%22%7Cwba%7C%22weekly+benefit+amount%22%7C%22replacement+rate%22+%22unemployment+insurance%22&hl=en&as_sdt=0,5"
0,"A Gaillard, S Kankanamge","Gross Labor Market Flows, Self-Employment, and Unemployment Insurance",2022,"… , and Unemployment Insurance (July …","papers.ssrn.com","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3902165","",594,"2022-08-15 21:28:05","","","","",,,,,0,0.00,0,2,1,"… duration and the maximum weekly benefit amount at the state level from the US Department of Labor’s ""significant provisions of state unemployment insurance … but also over time within …","http://kankanamge.free.fr/docs/GK_GLMFE.pdf","https://scholar.google.com/scholar?q=related:3laRiuG3faYJ:scholar.google.com/&scioq=duration+%22standard+error%22%7C%22standard+errors%22%7Cpbd%7C%22benefit+duration%22%7Cwba%7C%22weekly+benefit+amount%22%7C%22replacement+rate%22+%22unemployment+insurance%22&hl=en&as_sdt=0,5"
0,"A Gaillard, S Kankanamge","Entrepreneurship and Labor Market Mobility: the Role of Unemployment Insurance",2021,"","publications.ut-capitole.fr","http://publications.ut-capitole.fr/42410/1/wp_tse_1187.pdf","",706,"2022-08-15 21:28:05","PDF","","","",,,,,0,0.00,0,2,1,"… maximum duration and replacement rate fall in the range of the variations observed across US states and over time, including UI extensions. We, thus, vary the replacement rate from 30…","http://publications.ut-capitole.fr/42410/1/wp_tse_1187.pdf","https://scholar.google.com/scholar?q=related:B0og3eIhEqcJ:scholar.google.com/&scioq=duration+%22standard+error%22%7C%22standard+errors%22%7Cpbd%7C%22benefit+duration%22%7Cwba%7C%22weekly+benefit+amount%22%7C%22replacement+rate%22+%22unemployment+insurance%22&hl=en&as_sdt=0,5"
13,"A Godøy, K Røed","Unemployment insurance and underemployment",2016,"Labour","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/labr.12066","https://scholar.google.com/scholar?cites=13222998598315759750&as_sdt=2005&sciodt=0,5&hl=en",361,"2022-08-15 21:28:05","","10.1111/labr.12066","","",,,,,13,2.17,7,2,6,"… , statistical inference is seriously limited by large standard errors. Based on Danish data, … maximum benefit duration is 24 months for all workers in the sample, the average spell duration …","https://www.econstor.eu/bitstream/10419/93290/1/dp7913.pdf","https://scholar.google.com/scholar?q=related:hlgZriqHgbcJ:scholar.google.com/&scioq=duration+%22standard+error%22%7C%22standard+errors%22%7Cpbd%7C%22benefit+duration%22%7Cwba%7C%22weekly+benefit+amount%22%7C%22replacement+rate%22+%22unemployment+insurance%22&hl=en&as_sdt=0,5"
47,"A Gould-Werth, HL Shaefer","Unemployment Insurance participation by education and by race and ethnicity",2012,"Monthly Lab. Rev.","HeinOnline","https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/month135&section=92","https://scholar.google.com/scholar?cites=7660651354546095502&as_sdt=2005&sciodt=0,5&hl=en",791,"2022-08-15 21:28:05","","","","",,,,,47,4.70,24,2,10,"… for unemployment, earnings history, part-time or filltime work status, union coverage, and du… and standard errors are clustered at the state level to account for the CPS's stratified survey …","https://stats.bls.gov/opub/mlr/2012/10/art3full.pdf","https://scholar.google.com/scholar?q=related:jsXVr9EZUGoJ:scholar.google.com/&scioq=duration+%22standard+error%22%7C%22standard+errors%22%7Cpbd%7C%22benefit+duration%22%7Cwba%7C%22weekly+benefit+amount%22%7C%22replacement+rate%22+%22unemployment+insurance%22&hl=en&as_sdt=0,5"
881,"A Han, JA Hausman","Flexible parametric estimation of duration and competing risk models",1990,"Journal of applied Econometrics","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/jae.3950050102","https://scholar.google.com/scholar?cites=14114617686925188017&as_sdt=2005&sciodt=0,5&hl=en",366,"2022-08-15 21:28:05","","10.1002/jae.3950050102","","",,,,,881,27.53,441,2,32,"… duration and competing risks specifications. We find an important effect arising from the exhaustion of unemployment insurance … and federal rules which govern benefit duration. l 3 The …","","https://scholar.google.com/scholar?q=related:sRuf-QAy4cMJ:scholar.google.com/&scioq=duration+%22standard+error%22%7C%22standard+errors%22%7Cpbd%7C%22benefit+duration%22%7Cwba%7C%22weekly+benefit+amount%22%7C%22replacement+rate%22+%22unemployment+insurance%22&hl=en&as_sdt=0,5"
4,"A Harkman","Unemployment Compensation and Unemployment Duration–What was the Effect of the Cut in the Replacement Rate from 90 to 80 percent?",1997,"Unemployment Insurance and the Functioning of the …","","","https://scholar.google.com/scholar?cites=9993594509843982765&as_sdt=2005&sciodt=0,5&hl=en",768,"2022-08-15 21:28:05","CITATION","","","",,,,,4,0.16,4,1,25,"","","https://scholar.google.com/scholar?q=related:rWmLJEJhsIoJ:scholar.google.com/&scioq=duration+%22standard+error%22%7C%22standard+errors%22%7Cpbd%7C%22benefit+duration%22%7Cwba%7C%22weekly+benefit+amount%22%7C%22replacement+rate%22+%22unemployment+insurance%22&hl=en&as_sdt=0,5"
16,"A Heyma, JC Van Ours","How eligibility criteria and entitlement characteristics of unemployment benefits affect job finding rates of elderly workers",2006,"Tilburg University","Citeseer","https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.518.2977&rep=rep1&type=pdf","https://scholar.google.com/scholar?cites=12028433696455952477&as_sdt=2005&sciodt=0,5&hl=en",556,"2022-08-15 21:28:05","PDF","","","",,,,,16,1.00,8,2,16,"… of PBD the emphasis is on end-of-period behavior with spikes in the exit rates, in this study we focus on beginning-of-the-period … Individuals entitled to Unemployment Insurance (UI) …","https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.518.2977&rep=rep1&type=pdf","https://scholar.google.com/scholar?q=related:XYiYsbeU7aYJ:scholar.google.com/&scioq=duration+%22standard+error%22%7C%22standard+errors%22%7Cpbd%7C%22benefit+duration%22%7Cwba%7C%22weekly+benefit+amount%22%7C%22replacement+rate%22+%22unemployment+insurance%22&hl=en&as_sdt=0,5"
117,"A Holen","Effects of unemployment insurance entitlement on duration and job search outcome",1977,"ILR Review","journals.sagepub.com","https://journals.sagepub.com/doi/pdf/10.1177/001979397703000401","https://scholar.google.com/scholar?cites=10748150115783879190&as_sdt=2005&sciodt=0,5&hl=en",77,"2022-08-15 21:28:05","","10.1177/001979397703000401","","",,,,,117,2.60,117,1,45,"… The coefficient of weekly benefit amount in the earnings equation thus represents both the … via its effect on duration. The coefficient of 8.9 for the weekly benefit amount means that a $10 …","","https://scholar.google.com/scholar?q=related:Firfi5UZKZUJ:scholar.google.com/&scioq=duration+%22standard+error%22%7C%22standard+errors%22%7Cpbd%7C%22benefit+duration%22%7Cwba%7C%22weekly+benefit+amount%22%7C%22replacement+rate%22+%22unemployment+insurance%22&hl=en&as_sdt=0,5"
21,"A Holen, S Horowitz","Partial unemployment insurance benefits and the extent of partial unemployment",1974,"The journal of human resources","JSTOR","https://www.jstor.org/stable/144698","https://scholar.google.com/scholar?cites=9376147826504285387&as_sdt=2005&sciodt=0,5&hl=en",871,"2022-08-15 21:28:05","","","","",,,,,21,0.44,11,2,48,"… Partial unemployment insurance benefits are provided in all s … is often the weekly benefit amount which the receive if he … and part-time employment. The former refers to less than full-…","","https://scholar.google.com/scholar?q=related:y7xWcMXEHoIJ:scholar.google.com/&scioq=duration+%22standard+error%22%7C%22standard+errors%22%7Cpbd%7C%22benefit+duration%22%7Cwba%7C%22weekly+benefit+amount%22%7C%22replacement+rate%22+%22unemployment+insurance%22&hl=en&as_sdt=0,5"
50,"A Holen, SA Horowitz","The effect of unemployment insurance and eligibility enforcement on unemployment",1974,"The Journal of Law and Economics","journals.uchicago.edu","https://www.journals.uchicago.edu/doi/pdf/10.1086/466799","https://scholar.google.com/scholar?cites=2111540857222437805&as_sdt=2005&sciodt=0,5&hl=en",532,"2022-08-15 21:28:05","","10.1086/466799","","",,,,,50,1.04,25,2,48,"… the base period (year) or within the high quarter of the base period. … the average weekly benefit amount 5. claims exhaustions as … through which unemployment insurance liberality can …","","https://scholar.google.com/scholar?q=related:rZt34zizTR0J:scholar.google.com/&scioq=duration+%22standard+error%22%7C%22standard+errors%22%7Cpbd%7C%22benefit+duration%22%7Cwba%7C%22weekly+benefit+amount%22%7C%22replacement+rate%22+%22unemployment+insurance%22&hl=en&as_sdt=0,5"
21,"A Hornstein, M Yuan","Can a matching model explain the long-run increase in Canada's unemployment rate?",1999,"Canadian Journal of Economics","JSTOR","https://www.jstor.org/stable/136409","https://scholar.google.com/scholar?cites=7784707369625593078&as_sdt=2005&sciodt=0,5&hl=en",853,"2022-08-15 21:28:05","","","","",,,,,21,0.91,11,2,23,"… unemployment insurance … replacement rate as the expected value of unemployment benefits to an unemployed worker, based on the legislated replacement rate, the maximum duration …","","https://scholar.google.com/scholar?q=related:9iTmhhvWCGwJ:scholar.google.com/&scioq=duration+%22standard+error%22%7C%22standard+errors%22%7Cpbd%7C%22benefit+duration%22%7Cwba%7C%22weekly+benefit+amount%22%7C%22replacement+rate%22+%22unemployment+insurance%22&hl=en&as_sdt=0,5"
8,"A Hornstein, M Yuan","Can a matching model explain the long-run increase in Canada's unemployment rate?",1998,"","papers.ssrn.com","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2123680","https://scholar.google.com/scholar?cites=15313385273795726410&as_sdt=2005&sciodt=0,5&hl=en",948,"2022-08-15 21:28:05","","","","",,,,,8,0.33,4,2,24,"… unemployment insurance … replacement rate as the expected value of unemployment benefits to an unemployed worker, based on the legislated replacement rate, the maximum duration …","https://www.bankofcanada.ca/wp-content/uploads/2010/05/wp98-19.pdf","https://scholar.google.com/scholar?q=related:SsxK0cUShNQJ:scholar.google.com/&scioq=duration+%22standard+error%22%7C%22standard+errors%22%7Cpbd%7C%22benefit+duration%22%7Cwba%7C%22weekly+benefit+amount%22%7C%22replacement+rate%22+%22unemployment+insurance%22&hl=en&as_sdt=0,5"
152,"A Karlström, M Palme, I Svensson","The employment effect of stricter rules for eligibility for DI: Evidence from a natural experiment in Sweden",2008,"Journal of public economics","Elsevier","https://www.sciencedirect.com/science/article/pii/S0047272708000765","https://scholar.google.com/scholar?cites=866506771726607124&as_sdt=2005&sciodt=0,5&hl=en",790,"2022-08-15 21:28:05","","","","",,,,,152,10.86,51,3,14,"… The unemployment insurance benefit consists of two parts: one basic … replacement rate for unemployment insurance has also been changed on several occasions during the time period …","http://www2.ne.su.se/paper/wp08_03.pdf","https://scholar.google.com/scholar?q=related:FCM8ZFFzBgwJ:scholar.google.com/&scioq=duration+%22standard+error%22%7C%22standard+errors%22%7Cpbd%7C%22benefit+duration%22%7Cwba%7C%22weekly+benefit+amount%22%7C%22replacement+rate%22+%22unemployment+insurance%22&hl=en&as_sdt=0,5"
4,"A Kelly","The performance of Illinois' unemployment insurance system over business cycles",1997,"International Journal of Public Administration","Taylor & Francis","https://www.tandfonline.com/doi/abs/10.1080/01900699708525267","https://scholar.google.com/scholar?cites=4598375577560642611&as_sdt=2005&sciodt=0,5&hl=en",876,"2022-08-15 21:28:05","","10.1080/01900699708525267","","",,,,,4,0.16,4,1,25,"… Initially, a few states borrowed from this fund for short time periods. The back-to-back recessions of … of wages replaced by Unemployment Insurance (the Replacement Rate). This ratio is …","","https://scholar.google.com/scholar?q=related:M3RVfDm20D8J:scholar.google.com/&scioq=duration+%22standard+error%22%7C%22standard+errors%22%7Cpbd%7C%22benefit+duration%22%7Cwba%7C%22weekly+benefit+amount%22%7C%22replacement+rate%22+%22unemployment+insurance%22&hl=en&as_sdt=0,5"
6,"A Kettemann","The Macroeconomics of Incomplete Unemployment Insurance Take-up",2017,"Unpublished report, Department of Economics","econ.uzh.ch","http://www.econ.uzh.ch/dam/jcr:ed9af161-f4f4-4b90-bf41-6fcd9a0b76f2/seffort2.pdf","https://scholar.google.com/scholar?cites=13444078580593961399&as_sdt=2005&sciodt=0,5&hl=en",872,"2022-08-15 21:28:05","PDF","","","",,,,,6,1.20,6,1,5,"… of search effort to unemployment insurance among the … a case for a countercyclical replacement rate. This hence mirrors … for unemployment insurance benefits z during every period of …","http://www.econ.uzh.ch/dam/jcr:ed9af161-f4f4-4b90-bf41-6fcd9a0b76f2/seffort2.pdf","https://scholar.google.com/scholar?q=related:t6m9QD32kroJ:scholar.google.com/&scioq=duration+%22standard+error%22%7C%22standard+errors%22%7Cpbd%7C%22benefit+duration%22%7Cwba%7C%22weekly+benefit+amount%22%7C%22replacement+rate%22+%22unemployment+insurance%22&hl=en&as_sdt=0,5"
41,"A Kuhn, S Staubli, JP Wuellrich, J Zweimüller","Fatal attraction? Extended unemployment benefits, labor force exits, and mortality",2020,"Journal of Public Economics","Elsevier","https://www.sciencedirect.com/science/article/pii/S0047272719301483","https://scholar.google.com/scholar?cites=2124849954550656576&as_sdt=2005&sciodt=0,5&hl=en",880,"2022-08-15 21:28:05","","","","",,,,,41,20.50,10,4,2,"… change in Austria's unemployment insurance system that … pension and unemployment insurance (UI) system during that time. … -region level, all standard errors we report are adjusted for …","https://www.nber.org/system/files/working_papers/w25124/w25124.pdf","https://scholar.google.com/scholar?q=related:QC7_lcb7fB0J:scholar.google.com/&scioq=duration+%22standard+error%22%7C%22standard+errors%22%7Cpbd%7C%22benefit+duration%22%7Cwba%7C%22weekly+benefit+amount%22%7C%22replacement+rate%22+%22unemployment+insurance%22&hl=en&as_sdt=0,5"
